x,y,x,y
85.787,33.078,86.882,23.072
86.882,23.072,82.199,20.064
82.199,20.064,83.715,18.234
83.715,18.234,87.079,20.449
85.787,33.078,86.882,23.072
86.882,23.072,82.199,20.064
82.199,20.064,83.715,18.234
83.715,18.234,87.079,20.449
87.079,20.449,82.555,17.155
82.555,17.155,83.844,15.48
83.844,15.480,87.531,17.632
87.531,17.632,88.213,11.353
88.815,33.317,91.079,13.565
